customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,0,1,0,1,0,0.0,DSL,0.0,1.0,0.0,0.0,0.0,0.0,Month-to-month,1,Electronic check,29.8500003814697,29.8500003814697,0
5575-GNVDE,Male,0,0,0,34,1,0.0,DSL,1.0,0.0,1.0,0.0,0.0,0.0,One year,0,Mailed check,56.9500007629395,1889.5,0
3668-QPYBK,Male,0,0,0,2,1,0.0,DSL,1.0,1.0,0.0,0.0,0.0,0.0,Month-to-month,1,Mailed check,53.8499984741211,108.150001525879,1
7795-CFOCW,Male,0,0,0,45,0,0.0,DSL,1.0,0.0,1.0,1.0,0.0,0.0,One year,0,Bank transfer (automatic),42.2999992370605,1840.75,0
9237-HQITU,Female,0,0,0,2,1,0.0,Fiber optic,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,1,Electronic check,70.6999969482422,151.649993896484,1
9305-CDSKC,Female,0,0,0,8,1,1.0,Fiber optic,0.0,0.0,1.0,0.0,1.0,1.0,Month-to-month,1,Electronic check,99.6500015258789,820.5,1
1452-KIOVK,Male,0,0,1,22,1,1.0,Fiber optic,0.0,1.0,0.0,0.0,1.0,0.0,Month-to-month,1,Credit card (automatic),89.0999984741211,1949.40002441406,0
6713-OKOMC,Female,0,0,0,10,0,0.0,DSL,1.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,0,Mailed check,29.75,301.899993896484,0
7892-POOKP,Female,0,1,0,28,1,1.0,Fiber optic,0.0,0.0,1.0,1.0,1.0,1.0,Month-to-month,1,Electronic check,104.800003051758,3046.05004882813,1
6388-TABGU,Male,0,0,1,62,1,0.0,DSL,1.0,1.0,0.0,0.0,0.0,0.0,One year,0,Bank transfer (automatic),56.1500015258789,3487.94995117188,0
9763-GRSKD,Male,0,1,1,13,1,0.0,DSL,1.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,1,Mailed check,49.9500007629395,587.450012207031,0
7469-LKBCI,Male,0,0,0,16,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Two year,0,Credit card (automatic),18.9500007629395,326.799987792969,0
8091-TTVAX,Male,0,1,0,58,1,1.0,Fiber optic,0.0,0.0,1.0,0.0,1.0,1.0,One year,0,Credit card (automatic),100.349998474121,5681.10009765625,0
0280-XJGEX,Male,0,0,0,49,1,1.0,Fiber optic,0.0,1.0,1.0,0.0,1.0,1.0,Month-to-month,1,Bank transfer (automatic),103.699996948242,5036.2998046875,1
5129-JLPIS,Male,0,0,0,25,1,0.0,Fiber optic,1.0,0.0,1.0,1.0,1.0,1.0,Month-to-month,1,Electronic check,105.5,2686.05004882813,0
3655-SNQYZ,Female,0,1,1,69,1,1.0,Fiber optic,1.0,1.0,1.0,1.0,1.0,1.0,Two year,0,Credit card (automatic),113.25,7895.14990234375,0
8191-XWSZG,Female,0,0,0,52,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,One year,0,Mailed check,20.6499996185303,1022.95001220703,0
9959-WOFKT,Male,0,0,1,71,1,1.0,Fiber optic,1.0,0.0,1.0,0.0,1.0,1.0,Two year,0,Bank transfer (automatic),106.699996948242,7382.25,0
4190-MFLUW,Female,0,1,1,10,1,0.0,DSL,0.0,0.0,1.0,1.0,0.0,0.0,Month-to-month,0,Credit card (automatic),55.2000007629395,528.349975585938,1
4183-MYFRB,Female,0,0,0,21,1,0.0,Fiber optic,0.0,1.0,1.0,0.0,0.0,1.0,Month-to-month,1,Electronic check,90.0500030517578,1862.90002441406,0
8779-QRDMV,Male,1,0,0,1,0,0.0,DSL,0.0,0.0,1.0,0.0,0.0,1.0,Month-to-month,1,Electronic check,39.6500015258789,39.6500015258789,1
1680-VDCWW,Male,0,1,0,12,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,One year,0,Bank transfer (automatic),19.7999992370605,202.25,0
1066-JKSGK,Male,0,0,0,1,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,0,Mailed check,20.1499996185303,20.1499996185303,1
3638-WEABW,Female,0,1,0,58,1,1.0,DSL,0.0,1.0,0.0,1.0,0.0,0.0,Two year,1,Credit card (automatic),59.9000015258789,3505.10009765625,0
6322-HRPFA,Male,0,1,1,49,1,0.0,DSL,1.0,1.0,0.0,1.0,0.0,0.0,Month-to-month,0,Credit card (automatic),59.5999984741211,2970.30004882813,0
6865-JZNKO,Female,0,0,0,30,1,0.0,DSL,1.0,1.0,0.0,0.0,0.0,0.0,Month-to-month,1,Bank transfer (automatic),55.2999992370605,1530.59997558594,0
6467-CHFZW,Male,0,1,1,47,1,1.0,Fiber optic,0.0,1.0,0.0,0.0,1.0,1.0,Month-to-month,1,Electronic check,99.3499984741211,4749.14990234375,1
8665-UTDHZ,Male,0,1,1,1,0,0.0,DSL,0.0,1.0,0.0,0.0,0.0,0.0,Month-to-month,0,Electronic check,30.2000007629395,30.2000007629395,1
5248-YGIJN,Male,0,1,0,72,1,1.0,DSL,1.0,1.0,1.0,1.0,1.0,1.0,Two year,1,Credit card (automatic),90.25,6369.4501953125,0
8773-HHUOZ,Female,0,0,1,17,1,0.0,DSL,0.0,0.0,0.0,0.0,1.0,1.0,Month-to-month,1,Mailed check,64.6999969482422,1093.09997558594,1
